Date,SMP
2021-09-24 14:00:00+02:00,111.13
2021-09-24 15:00:00+02:00,110.93
2021-09-24 16:00:00+02:00,114.72
2021-09-24 17:00:00+02:00,139.99
2021-09-24 18:00:00+02:00,178.9
2021-09-24 19:00:00+02:00,188.56
2021-09-24 20:00:00+02:00,214.66
2021-09-24 21:00:00+02:00,196.6
2021-09-24 22:00:00+02:00,157.32
2021-09-24 23:00:00+02:00,155.92
2021-09-25 00:00:00+02:00,113.78
